id,createdTime,NAME,PHYLUM,SUBPHYLUM,CLASS,ORDER,SUBORDER,FAMILY,GENUS,POPU-SIZE,LIFESPAN(Y),TOPSPEED(KM/H),WEIGHT(KG),LENGTH(CM),HEIGHT(CM),ACTIVITY-PERIOD,REPRODUCTION,LIFESTYLE,SOCIAL,DOMESTICATED,TYPE,KINGDOM,EUROPE,ASIA,OCEANIA,SOUTH-AMERICA,NORTH-AMERICA,ANTARCTICA,AFRICA,POPU-STATUS,POPU-TREND,MATING-BEHAVIOR,REPRODUCTION-SEASON,PREGNANCY-DURATION(M),BABY-CARRYING(M),INDEPENDENT-AGE(M),FOREST,DUNES,RIVERS,MARINE,REEF,SEMI-DESERT,STEPPE,FRESHWATTER,ABYSSAL-ZONE,ICECAP,WETLANDS,MARSH,LAKES,COASTAL,CHAPARRAL,SHRUBLAND,RAINFOREST,INTERTIDAL-ZONE,URBAN,BENTHIC,ROCKY-AREAS,GRASSLAND,SAVANNA,MOUNTAINS,RIPARIAN,NERITIC-ZONE,ANTROPHOGENIC,ESTUARIES,OCEANIC-PELAGIC-ZONE,CAVES,AGRICULTURAL,ARID,COLD,TEMPERATE,POLAR,TROPICAL,POISONOUS
rec03gojdZiwGxP7i,2023-11-04T18:49:06.000Z,African Buffalo,Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Bovinae,Syncerus,571000.0,20.0,,625.0,2.549999952316284,1.350000023841858,"['Nocturnal', 'Diurnal']",Viviparous,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Near Threatened (NT),Decreasing,Polygynandry,rainy,11.5,1.0,18.0,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
rec05JJw1E0GPkR8R,2023-11-04T18:51:04.000Z,Julia Creek Dunnart,Chordata,Vertebrata,Mammalia,Marsupialia,Dasyuromorphia,Dasyuridae,Sminthopsis,,2.5,,0.054999999701976776,200.0,,['Nocturnal'],,,Solitary,No domesticated,Terrestrial,Animalia,No,No,Yes,No,No,No,No,Near Threatened (NT),Decreasing,,spring-summer,0.4000000059604645,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
rec08jhhQ08zxOZYI,2023-11-04T18:49:52.000Z,Kordofan Giraffe,Chordata,Vertebrata,Mammalia,Artiodactyla,Giraffidae,Giraffa,,1942.0,25.0,48.0,,,4.25,['Diurnal'],Viviparous,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Critically endangered (CR),Decreasing,Polygyny,year-round,14.0,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
rec09oQ6YDz9UE2r1,2023-11-04T18:49:35.000Z,Golden Monkey,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Simiiformes,Cercopithecidae,,19.0,,5.25,,,['Diurnal'],,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Endangered (EN),Decreasing,,,5.0,,24.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No
rec0AsSJ30KZN5qE6,2023-11-04T18:51:07.000Z,Southeastern shrew,Chordata,Vertebrata,Mammalia,Eulipotyphla,Soricidae,Sorex,,31050.0,,,0.004000000189989805,89.0,,"['Diurnal', 'Nocturnal']",,,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,No,Yes,No,No,Least concern (LC),Stable,Polygynandry,,0.6000000238418579,,,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,,,,,,No
rec0GyWyDWnMt1gHo,2023-11-04T18:50:25.000Z,Variegated Squirrel,Chordata,Vertebrata,Mammalia,Rodentia,Sciuridae,Sciurus,,,15.5,,500.0,260.0,,['Diurnal'],,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,No,Yes,No,No,Least concern (LC),Stable,,April-May,1.2999999523162842,,3.75,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No
rec0NUWBHAnxRB8eF,2023-11-04T18:49:50.000Z,Giant Sable Antelope,Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Hippotraginae,Hippotragus,85000.0,22.0,56.0,229.0,,129.0,['Diurnal'],Viviparous,Not a migrant,,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Critically endangered (CR),Decreasing,,,9.0,,8.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
rec0Pd9LjAGS4e8HL,2023-11-04T18:50:06.000Z,Greater Mouse-Deer,Chordata,Vertebrata,Mammalia,Artiodactyla,Tragulidae,Tragulus,,,14.0,,6.5,72.5,32.5,['Nocturnal'],,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,Yes,Yes,No,No,No,No,Least concern (LC),Decreasing,,year-round,5.099999904632568,,2.5,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No
rec0VZmES4Yt3t2hJ,2023-11-04T18:50:03.000Z,Blue-Eyed Black Lemur,Chordata,Vertebrata,Mammalia,Primates,Strepsirrhini,Lemuroidea,Lemuridae,1000.0,22.5,20.0,1.7999999523162842,42.0,,[nan],,,Social,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Critically endangered (CR),Decreasing,Polygyny,April-June,4.199999809265137,,5.5,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
rec0X0cr5CNVZWhKY,2023-11-04T18:50:33.000Z,Sharpe's Grysbok,Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Antilopinae,Raphicerus,95000.0,,,9.25,70.0,52.5,['Nocturnal'],,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Least concern (LC),Stable,,year-round,7.0,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
